Compound,predicted_stable_unstable,#_Atoms,Lattice Parameter (Angstroms),Density (g/cm^3),Vol/Atom,Mass,Total_Energy (eV/atom),Magnetic_Moment,Band_Gap (eV),Band Gap Type,Volume (Angstroms^3),Bulk Modulus (Gpa),avg_CN,DOSmass_CB,Nb_CB,bmass_CB,mobility_n,DOSmass_VB,Nb_VB,bmass_VB,mobility_p,gamma,kappa_L_ac,kappa_L_oc,kappa_L,beta_n,beta_p,dos_mass_tol
TaRhSn,stable,3,6.18,11.326,19.673,222.824,-8.1,0,1.047,PBE,59.019,168.556,5.333,1.354,3,0.651,38.52,8.942,11,1.808,8.321,1.255,17.703,1.231,18.934,4.147,8.237,0.4
TaRuAs,stable,3,5.955,11.228,17.595,197.571,-9.021,0,0.452,PBE,52.786,193.138,5.333,0.457,3,0.22,225.25,2.816,8,0.704,39.233,1.255,22.464,1.374,23.838,7.243,9.601,0.4
TaRuBi,unstable,3,6.293,13.087,20.767,271.774,-8.306,0,0.455,PBE,62.301,159.409,5.333,0.365,3,0.175,260.342,3.106,8,0.777,27.956,1.255,13.601,1.094,14.695,11.097,12.121,0.4
TaRuP,other_structure,3,5.831,10.488,16.518,173.245,-9.368,0,0.533,PBE,49.554,208.181,5.333,0.647,3,0.311,144.094,2.795,8,0.699,42.766,1.255,27.639,1.508,29.147,5.183,8.502,0.4
TaRuSb,stable,3,6.175,11.391,19.621,223.496,-8.775,0,0.631,PBE,58.862,180.683,5.333,0.743,3,0.357,101.495,3.144,8,0.786,31.117,1.255,20.473,1.272,21.745,5.546,9.217,0.4
TiAgAl,unstable,3,6.112,5.317,19.023,101.136,-4.678,0,0.151,PBE,57.069,98.093,5.333,1.323,3,0.636,23.199,8.202,3,3.943,1.503,1.255,13.088,1.386,14.475,3.2,1.071,0.4
TiAgB,unstable,3,5.66,6.101,15.109,92.185,-5.011,0,0.337,PBE,45.328,133.312,5.333,2.208,3,1.062,14.625,3.813,3,1.833,6.445,1.255,18.75,1.63,20.379,2.272,1.637,0.4
TiAgGa,unstable,3,6.088,6.638,18.8,124.794,-4.426,0,0.177,PBE,56.401,98.73,5.333,1.625,3,0.781,17.157,6.771,3,3.255,2.017,1.255,10.055,1.25,11.304,3.646,1.549,0.4
TiAgIn,unstable,3,6.342,7.046,21.254,149.755,-4.221,0,0.072,PBE,63.763,86.833,5.333,1.929,3,0.927,11.668,6.134,3,2.949,2.057,1.255,7.631,1.092,8.723,3.749,1.873,0.4
TiAuAl,other_structure,3,6.094,7.979,18.857,150.453,-5.343,0,0.695,PBE,56.57,120.029,5.333,3.163,3,1.521,7.681,12.11,3,5.822,1.025,1.255,12.418,1.255,13.674,2.457,1.098,0.4
